Recipient,Amount
0xcd856fe2b31cf1473ca09e696b5c8274cd2bf36d,171235.29
0xe48d59d86d56f5d1f67bdd09f6eb1aefb24e31fa,171092.8
0x037208417bfe5159b631529c83ae5eeb138fa4d8,170519.72
0x887653b1eec405755b57fd9c53b6e9fd5c7a1751,170496.57
0x5c8f85d65abbb247ee7c98ab69adc40c394a340e,170453.59
0xde095620a093d8b7801e5868044b9b26d38484a2,169866.68
0xdb769dbd7f4e370f38a180650be09cbbcf0fd9e0,169295.84
0xc878bd35ac66191604cc357f2f0c870752b4214f,169147.03
0x32a391c4990b3f863d13d163dc070fcd5df6fc27,169022.32
0x01ba7ebbb3c04a490ffddfa9f0b2ac510e10bb5a,168658.41
0x5db264b56310f58eda89f10a257ad2363d83582e,168063.95
0x82b38ecd0296df429ece3e8bc91d5c6e1c36ed1e,167865.31
0x02ff49ad0d82ef5b2055a6b256c6ef77522e3e50,167558.48
0xa9a4bef3b8cf47e2a3c8407193dfa38ccc4454a7,166873.04
0x07a3ebf0c0500400ac8121964227ffe0cfb0c44b,166722.78
0x65fb31e8501a74476f08b4d06587b192d5ba120e,166455.16
0x9f52878421ae05907e9825c0a13d307ff4b7502b,165306.5
0x823e8f860bfefa84cdd8f4912e39b1c21eb1c317,165050.68
0x81238e8a14359a4edadaec82f996c1a605afc388,164923.68
0x02ab03273f2f7d8fa5f753149bdaf754b7cb2bdc,164094.36
0xf940db2f54b53c2df05e8f23bf40a2847a8d2fd6,164052.48
0xa390b4f6864e32b16cd6f1e47a8b957e065e67fc,163577.8
0xc206f6298d627f134320f625f8364f302880bb67,163499.2
0x9582a21bcf6ce2b960fd6c74dc6674700cf9bb52,162924.27
0x514687e7f4ec256c9cb88981676f2c75a6426ba0,162360.67
0xb8e9207c66bf6bb601dbf0c972094700843e8f93,162303.94
0xb1050fbe944ef335c924608b922b2d0a16ba60ef,162074.68
0xc8c8ec52968392f572ebd07654def98241cf349f,162048.34
0x7fff1318f94e97c45ef2ce5ad62ec0da81d3b57f,161532.15
0xe9cadcb2dfa3c7831e3fb1275d33f7a44884598e,161333.31
0xa2b55ac8c0b99f7a3bf89b5a4d38f446762b38cd,161204.83
